,LR,kNN,SVCrbf,SVCpoly1,linSVC1,linSVC2,DT,RF,AdaBoost,MLP1,MLP2,NB,QDA,cnn,prcnn,cnn_full
Blues,0.0011695906432748536,0.0,0.0,0.0,0.0027290448343079924,0.003508771929824561,0.0,0.0,0.0,0.003508771929824561,0.0023391812865497076,0.10136452241715402,0.0,0.0,0.000390015600624025,0.0011695906432748538
Classical,0.006371963361210673,0.016726403823178016,0.005177220230983672,0.006371963361210673,0.009557945041816007,0.011150935882118677,0.021505376344086027,0.0,0.0011947431302270011,0.006371963361210673,0.0027877339705296694,0.008363201911589008,0.0,0.027091633466135457,0.005577689243027889,0.013142174432497013
Country,0.004696673189823875,0.0,0.0,0.0,0.012524461839530331,0.006653620352250489,0.0,0.0,0.0,0.010176125244618396,0.005088062622309198,0.2191780821917808,0.0,0.0,0.0050900548159749405,0.005870841487279843
Easy Listening,0.0,0.0,0.0,0.0,0.0003895597974289053,0.0003895597974289053,0.0,0.0,0.0,0.0,0.0,0.05181145305804441,0.0,0.0,0.0,0.0
Electronic,0.11025244719216898,0.08552292632663576,0.1586810922205049,0.15971148892323545,0.14219474497681608,0.12416280267903144,0.2663575476558475,0.3714580113343637,0.5342606903657908,0.09325090159711487,0.1184956208140134,0.0030911901081916537,0.03967027305512622,0.2036082474226804,0.15309278350515465,0.19278350515463918
Experimental,0.0596252129471891,0.002129471890971039,0.060902896081771726,0.05281090289608177,0.06473594548551959,0.05025553662691652,0.034071550255536626,0.00042589437819420784,0.031516183986371384,0.06345826235093696,0.07793867120954004,0.016609880749574105,0.035775127768313465,0.032807839795483594,0.05368555602897316,0.07027257240204429
Folk,0.04750103263114416,0.05328376703841388,0.043370508054522916,0.04667492771581992,0.043370508054522916,0.041718298223874434,0.055762081784386616,0.0008261049153242463,0.002891367203634861,0.04584882280049566,0.04378356051218505,0.01982651796778191,0.1288723667905824,0.054545454545454536,0.04049586776859504,0.02395704254440314
Hip-Hop,0.025074373140671482,0.04079898002549937,0.016574585635359115,0.01827454313642159,0.02677433064173396,0.02974925626859328,0.04079898002549937,0.0,0.0,0.031874203144921384,0.025074373140671482,0.0055248618784530384,0.051423714407139824,0.013605442176870748,0.017431972789115645,0.04122396940076498
Instrumental,0.0283451438099208,0.0020842017507294707,0.016673614005835766,0.02084201750729471,0.02334305960817007,0.0212588578574406,0.05252188411838266,0.0,0.0,0.045018757815756566,0.03334722801167153,0.006669445602334306,0.0012505210504376823,0.007506255212677232,0.012093411175979984,0.054189245518966235
International,0.02063941723998381,0.007689194658033184,0.006070416835289356,0.006475111290975314,0.0141643059490085,0.013354917037636584,0.004046944556859571,0.0,0.004046944556859571,0.02509105625252934,0.014973694860380412,0.08336705787130716,0.05989477944152165,0.007692307692307694,0.005668016194331984,0.01254552812626467
Jazz,0.007892659826361484,0.0007892659826361484,0.0011838989739542227,0.0007892659826361484,0.007103393843725336,0.007103393843725336,0.0,0.0,0.0,0.0055248618784530384,0.008681925808997633,0.090370955011839,0.0,0.0,0.0059218318199763115,0.009865824782951855
Old-Time / Historic,0.0015860428231562252,0.0011895321173671688,0.0007930214115781126,0.0011895321173671688,0.003568596352101506,0.0031720856463124504,0.0011895321173671688,0.0,0.02141157811260904,0.003568596352101506,0.0023790642347343376,0.02220459952418716,0.0,0.0043633478778262605,0.002776675922253074,0.0015860428231562252
Pop,0.018744906275468626,0.0,0.005704971475142625,0.004074979625101874,0.013039934800325998,0.006112469437652812,0.0,0.0,0.0,0.036674816625916866,0.035859820700896494,0.027709861450692742,0.4942950285248574,0.0028536485935589076,0.0370974317162658,0.04686226568867156
Rock,0.13426423200859292,0.4156820622986037,0.14554242749731472,0.1552094522019334,0.12191192266380235,0.1535982814178303,0.1799140708915145,0.40171858216971,0.17024704618689582,0.1364124597207304,0.121374865735768,0.0075187969924812035,0.05961331901181525,0.1498388829215897,0.11117078410311493,0.12184648416532474
Soul-RnB,0.0035559067562228367,0.0,0.0,0.0,0.004741209008297114,0.008297115764519953,0.0,0.0,0.0,0.00434610825760569,0.001975503753457132,0.1995258790991703,0.0,0.0,0.0,0.0
Spoken,0.0027333073018352212,0.0,0.0007809449433814916,0.0011714174150722373,0.0015618898867629833,0.005857087075361186,0.0,0.0,0.0,0.0003904724716907458,0.0011714174150722373,0.0562280359234674,0.0,0.0,0.002734375,0.0
