,mean,variance,p_value,max_accuracy,max_increment
Powell_resBords,-2.972499999999999,6.524888086459132,199.7731051884558,54.75,1.375000000000007
Powell_resPlura,0.8850000000000012,0.9016849307189924,8.210204294201162e-07,53.125,3.499999999999993
Powell_resKAppr,0.2824999999999997,1.121965863098867,8.12068382869635,53.125,3.0
Powell_resFlex,8.705,3.9472575082878354,0.0,53.125,17.749999999999996
CG_resBords,0.0274999999999995,0.1602970775192868,23.09121542167132,53.87499999999999,0.5000000000000071
CG_resPlura,1.0424999999999998,0.8812133622431738,5.308753436850111e-09,53.37499999999999,2.750000000000007
CG_resKAppr,0.0499999999999982,0.3952847075210464,37.54658480958373,52.87500000000001,0.8749999999999929
CG_resFlex,5.885,7.274625665381591,6.293577528015959e-05,50.875,19.625000000000007
SLSQP_resBords,0.0025000000000001,0.0308262080386292,56.89544686260355,53.87499999999999,0.1250000000000142
SLSQP_resPlura,0.2475000000000007,0.6203860302510137,0.6894827044258589,52.87500000000001,2.750000000000007
SLSQP_resKAppr,-0.0125000000000002,0.2746170803433873,125.10723972312375,53.25,0.75
SLSQP_resFlex,0.0,0.0,,46.62500000000001,0.0
BFGS_resBords,0.0274999999999995,0.1602970775192868,23.09121542167132,53.87499999999999,0.5000000000000071
BFGS_resPlura,1.0424999999999998,0.8812133622431738,5.308753436850111e-09,53.37499999999999,2.750000000000007
BFGS_resKAppr,0.0499999999999982,0.3952847075210464,37.54658480958373,52.87500000000001,0.8749999999999929
BFGS_resFlex,5.885,7.274625665381591,6.293577528015959e-05,50.875,19.625000000000007
differential_evolution_resBords,-0.1444999999999993,0.3978350211854553,198.66818703205567,53.5,0.8750000000000071
differential_evolution_resPlura,1.1234999999999995,0.9764237381006936,1.1838818814169372e-08,53.1,3.749999999999993
differential_evolution_resKAppr,0.343499999999999,1.1550665896521335,4.064004121947273,52.6,2.25
